@relation Training

@attribute ID numeric
@attribute Class {0,1}
@attribute ScoreTag {P,NONE,N,NEU,P+,N+}
@attribute Agreement {DISAGREEMENT,AGREEMENT}
@attribute Irony {NONIRONIC,IRONIC}
@attribute Confidence numeric
@attribute Subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute Fear numeric
@attribute Excited numeric
@attribute Bored numeric
@attribute Happy numeric
@attribute Angry numeric
@attribute Sad numeric
@attribute nbOfChars numeric
@attribute nbOfSymbols numeric
@attribute wordDensity numeric
@attribute nbUniqueWords numeric
@attribute nbOfLinks numeric
@attribute nbOfUniqLinks numeric
@attribute nbOfLetterWords numeric

@data
3578,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.192823,0.304429,0.047713,0.201646,0.142835,0.110555,183,7,0.289617,44,0,0,39
4081,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.112253,0.24454,0.072622,0.236821,0.272612,0.061152,356,85,0.446629,62,0,0,51
4704,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.116182,0.359832,0.030509,0.304239,0.142676,0.046562,22,1,0.318182,7,0,0,6
82,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.111153,0.178279,0,0.218276,0.255876,0.236416,255,75,0.482353,39,0,0,35
3551,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.117494,0.345168,0.023398,0.406146,0.051349,0.056444,1554,39,0.184041,235,0,0,240
4027,0,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.218561,0.27002,0.028464,0.320945,0.087641,0.07437,1870,106,0.278075,206,0,0,374
1191,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.150707,0.447557,0.048423,0.197351,0.099634,0.056327,80,9,0.3625,20,0,0,11
373,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.095723,0.428518,0.015106,0.340702,0.10514,0.014811,218,6,0.238532,43,0,0,44
4495,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.100665,0.246076,0.009772,0.505857,0.062656,0.074974,716,14,0.252793,98,0,0,159
2494,1,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.219559,0.116266,0.031621,0.124348,0.422673,0.085533,26,1,0.307692,8,0,0,7
1529,0,P,DISAGREEMENT,IRONIC,76,SUBJECTIVE,0.131612,0.144447,0.039388,0.290734,0.234858,0.158961,2381,170,0.276354,241,0,0,445
53,0,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.189377,0.093623,0.045487,0.069923,0.346736,0.254853,245,12,0.277551,42,0,0,44
2948,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.200043,0.35552,0.084363,0.132247,0.13846,0.089367,1360,179,0.331618,166,0,0,248
4205,0,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.336017,0.040115,0.150641,0.049078,0.12108,0.303068,460,79,0.363044,71,0,0,67
4362,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.20115,0.208808,0.067847,0.214286,0.113597,0.194312,189,8,0.275132,38,0,0,35
830,1,N,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.178787,0.200161,0,0.169746,0.273769,0.177538,1302,123,0.225038,172,0,0,168
3209,1,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.168479,0.140453,0.051963,0.094622,0.299256,0.245226,377,31,0.289125,81,0,0,72
940,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.111272,0.16538,0.081766,0.143956,0.338968,0.158657,821,106,0.347138,99,0,0,128
3013,0,N,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.25301,0.200507,0.076753,0.18706,0.154188,0.128481,1199,133,0.323603,114,0,0,244
232,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.110313,0.391354,0.02131,0.288418,0.155048,0.033557,178,10,0.275281,44,0,0,38
3785,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.134448,0.272599,0,0.217996,0.252433,0.122524,556,78,0.334532,79,0,0,96
339,0,N,AGREEMENT,NONIRONIC,92,OBJECTIVE,0.143953,0.166624,0.038526,0.195756,0.321539,0.133601,781,98,0.354673,118,0,0,127
2569,1,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.351282,0.335552,0.042143,0.195257,0.049136,0.026631,21,1,0.380952,8,0,0,6
908,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.114793,0.472902,0.077221,0.231485,0.072174,0.031425,643,64,0.300156,98,0,0,108
3821,1,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.115982,0.192713,0,0.346468,0.206122,0.138716,1037,22,0.216972,141,0,0,201
1751,1,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.139625,0.304327,0,0.309063,0.153554,0.093432,124,6,0.209677,24,0,0,20
3206,1,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.143194,0.384043,0.043071,0.290659,0.110613,0.02842,281,17,0.24911,48,0,0,53
324,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.115516,0.19422,0.041293,0.239466,0.287592,0.121913,283,72,0.427562,40,0,0,35
2002,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.142633,0.164618,0.040807,0.133227,0.339428,0.179287,460,78,0.4,87,0,0,92
1343,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.148826,0.127802,0.040108,0.093756,0.426905,0.162604,188,17,0.324468,41,0,0,28
2941,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.206961,0.18591,0.112906,0.111023,0.199706,0.183494,263,8,0.285171,52,0,0,61
1424,1,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.095328,0.53871,0.027953,0.216016,0.110144,0.011851,470,23,0.261702,73,2,1,92
4818,0,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.097387,0.416685,0.066806,0.252684,0.108295,0.058142,706,61,0.303116,100,0,0,122
446,1,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.113298,0.443377,0,0.171033,0.215473,0.056819,5328,390,0.270083,421,0,0,1004
1774,0,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.13512,0.133333,0.047265,0.123129,0.413998,0.147155,3273,494,0.375802,219,0,0,612
1570,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.122207,0.488088,0.071783,0.153591,0.123457,0.040874,101,11,0.376238,26,0,0,17
171,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.094192,0.255211,0.040032,0.135236,0.38287,0.09246,1274,35,0.244898,157,0,0,270
1409,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.110717,0.354807,0.051001,0.14411,0.247892,0.091473,161,7,0.291925,31,0,0,29
1659,0,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.162454,0.207304,0,0.262198,0.087793,0.280251,665,23,0.255639,105,0,0,139
2874,1,P+,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.10149,0.364198,0,0.325785,0.117682,0.090845,2160,14,0.149537,309,0,0,306
2132,1,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.118659,0.528547,0.026327,0.206293,0.084903,0.035271,702,56,0.270655,75,0,0,93
3665,1,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.165493,0.23637,0.181669,0.130966,0.123238,0.162263,31,3,0.290323,7,0,0,6
1074,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.174641,0.277723,0.075042,0.260129,0.147722,0.064743,314,10,0.264331,69,0,0,67
3387,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.078919,0.283347,0.041918,0.227301,0.3016,0.066915,523,90,0.399618,83,0,0,95
3166,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.205565,0.151677,0.044063,0.263283,0.086682,0.248731,62,7,0.354839,18,0,0,11
3983,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.085731,0.397927,0.009844,0.449682,0.029434,0.027382,1146,136,0.329843,121,2,2,202
4701,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.072526,0.316994,0.040271,0.411622,0.076729,0.081858,1068,41,0.26779,146,0,0,239
3794,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.182929,0.207822,0.045117,0.195553,0.202354,0.166225,221,16,0.289593,44,0,0,40
2614,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.205245,0.147761,0.04892,0.285567,0.082575,0.229931,64,7,0.34375,18,0,0,11
5072,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.191092,0.227994,0.094188,0.21697,0.142723,0.127034,532,98,0.381579,90,0,0,83
3136,1,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.191164,0.308818,0.071122,0.188103,0.133461,0.107331,1810,114,0.269613,246,1,1,348
1556,1,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.141622,0.182577,0.060066,0.163327,0.371184,0.081225,20,2,0.35,7,0,0,5
1678,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.197712,0.081079,0.027749,0.101728,0.254458,0.337274,111,4,0.261261,27,0,0,23
3625,1,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.15193,0.264873,0.040564,0.199752,0.204712,0.138169,2537,154,0.2365,254,0,0,388
100,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.148565,0.068668,0.06517,0.05053,0.376367,0.2907,177,9,0.276836,38,0,0,35
915,0,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.150151,0.154065,0.071423,0.102573,0.342276,0.179513,602,37,0.260797,86,0,0,113
4544,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.123532,0.409657,0.052934,0.213528,0.136956,0.063393,153,13,0.339869,41,0,0,28
4645,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.130141,0.259211,0.04465,0.16946,0.292341,0.104198,351,26,0.330484,71,0,0,70
3694,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.145263,0.104845,0.036506,0.175524,0.248084,0.289778,584,80,0.369863,92,0,0,103
1528,0,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.170202,0.310519,0.040234,0.177772,0.159921,0.141353,725,16,0.230345,112,0,0,146
4030,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.141108,0.417195,0.023916,0.310901,0.086243,0.020637,754,33,0.281167,112,0,0,169
4489,1,P,AGREEMENT,NONIRONIC,92,SUBJECTIVE,0.25494,0.372163,0.042649,0.166753,0.128137,0.035359,238,13,0.243697,54,0,0,41
1033,1,P,DISAGREEMENT,IRONIC,76,SUBJECTIVE,0.184576,0.212776,0.037219,0.257696,0.251748,0.055985,752,47,0.299202,128,0,0,176
2454,0,NEU,DISAGREEMENT,NONIRONIC,91,OBJECTIVE,0.164507,0.152516,0.04253,0.182643,0.318553,0.13925,197,19,0.35533,45,0,0,32
2693,0,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.196243,0.174652,0.0536,0.107656,0.272189,0.19566,1193,178,0.321039,130,0,0,193
2553,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.151526,0.075918,0.061757,0.051473,0.466423,0.192902,538,31,0.295539,88,0,0,99
224,1,N,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.103219,0.313148,0.025569,0.263972,0.245109,0.048984,490,27,0.281633,95,0,0,106
1263,1,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.141629,0.229288,0.043888,0.137578,0.311474,0.136144,87,2,0.275862,20,0,0,20
2544,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.15104,0.238469,0.052329,0.317394,0.081417,0.159351,272,16,0.272059,54,0,0,45
4326,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.151473,0.290484,0.026319,0.311378,0.110342,0.110004,1098,55,0.233151,116,0,0,169
5089,1,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.08028,0.479059,0.01653,0.309572,0.102556,0.012002,111,5,0.252252,26,0,0,23
1682,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.088892,0.334375,0.054933,0.172955,0.267449,0.081396,1207,156,0.3372,153,0,0,234
4813,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.162224,0.165903,0.040772,0.1201,0.304629,0.206374,3252,201,0.289975,277,0,0,676
1280,1,?,?,?,?,?,0.168278,0.173004,0.160956,0.167992,0.164282,0.165488,0,0,0,0,0,0,0
3933,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.128605,0.38341,0.026925,0.23367,0.180885,0.046506,154,9,0.298701,35,0,0,20
1643,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.204365,0.243991,0,0.220957,0.206126,0.124561,294,24,0.289116,59,0,0,53
2651,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.125502,0.309122,0.095429,0.223007,0.155625,0.091314,62,13,0.403226,16,1,1,8
4070,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.230614,0.329025,0.02192,0.270241,0.096595,0.051604,897,112,0.329989,133,0,0,164
234,1,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.324717,0.061536,0.078735,0.057946,0.19007,0.286995,993,821,0.687815,59,1,1,35
300,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.113875,0.294941,0,0.289607,0.212268,0.089308,164,64,0.560976,27,0,0,17
3395,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.25523,0.139789,0.046025,0.125476,0.256359,0.177121,1758,183,0.333902,203,0,0,364
663,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.185525,0.081121,0.029922,0.066123,0.361685,0.275624,1095,72,0.303196,132,0,0,229
4748,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.142274,0.175434,0.060093,0.169197,0.248171,0.204831,279,75,0.451613,40,0,0,40
1256,0,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.119438,0.405424,0.042385,0.321039,0.074638,0.037076,767,47,0.289439,106,0,0,157
202,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.112554,0.109362,0.066167,0.319602,0.199002,0.193313,1636,110,0.267726,170,2,2,325
4447,1,N,DISAGREEMENT,IRONIC,84,SUBJECTIVE,0.1774,0.22873,0.135969,0.188503,0.160692,0.108705,179,25,0.324022,41,1,1,29
797,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.075552,0.490305,0.013127,0.321486,0.082778,0.016752,718,45,0.264624,107,0,0,125
85,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.151694,0.27933,0.091379,0.214785,0.179094,0.083718,282,12,0.283688,52,0,0,65
4731,0,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.185372,0.090822,0.041062,0.072028,0.354467,0.256249,1428,156,0.323529,150,0,0,268
2518,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.123526,0.411921,0.047406,0.215793,0.155758,0.045596,172,13,0.30814,41,0,0,30
3936,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.25241,0.24351,0.060583,0.180809,0.135847,0.126841,207,6,0.26087,41,0,0,44
3833,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.114968,0.204182,0.019281,0.298152,0.310812,0.052605,913,160,0.372399,99,0,0,153
1578,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.167937,0.211269,0,0.509775,0.053554,0.057465,208,12,0.307692,47,0,0,52
4661,1,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.179928,0.075247,0.034278,0.060296,0.119624,0.530626,1272,299,0.551101,205,0,0,248
180,1,N,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.191422,0.206002,0.039593,0.127401,0.268951,0.16663,2369,65,0.221612,270,0,0,449
2091,0,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.181345,0.246247,0.020965,0.325711,0.110302,0.115431,734,39,0.282016,117,0,0,152
1025,1,P+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.19615,0.130187,0.10352,0.09189,0.352794,0.12546,285,20,0.287719,63,0,0,53
3012,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.202661,0.142773,0.041165,0.271061,0.082494,0.259845,65,7,0.338462,18,0,0,11
355,1,NEU,DISAGREEMENT,NONIRONIC,91,OBJECTIVE,0.175104,0.084523,0.04445,0.072914,0.382877,0.240131,319,15,0.282132,74,1,1,73
2912,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.152344,0.359576,0.024425,0.271158,0.052817,0.13968,206,6,0.247573,43,0,0,42
2806,0,P+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.193332,0.264119,0.030415,0.267136,0.110637,0.134361,681,105,0.38326,89,0,0,121
1278,1,N+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.123089,0.368918,0.032151,0.212792,0.171138,0.091911,117,7,0.273504,21,0,0,22
68,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.283848,0.160946,0.044467,0.130798,0.147832,0.232109,559,21,0.237925,80,0,0,111
1452,0,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.094234,0.060614,0.533368,0.054381,0.13029,0.127113,309,24,0.33657,62,0,0,62
4369,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.16763,0.425753,0,0.23886,0.105455,0.062302,1834,70,0.258451,183,0,0,398
3941,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.084742,0.582051,0.022444,0.213953,0.072549,0.024261,86,9,0.372093,22,0,0,15
4077,1,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.220442,0.11303,0.086692,0.074105,0.292769,0.212963,22,0,0.181818,4,0,0,4
550,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.108224,0.100459,0.031752,0.076535,0.445857,0.237173,1397,176,0.333572,158,0,0,253
2655,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.085808,0.388936,0.11284,0.224871,0.154451,0.033094,250,15,0.288,50,0,0,52
1898,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.185965,0.143497,0.064555,0.151077,0.253593,0.201313,915,96,0.339891,130,0,0,198
3010,0,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.157153,0.167223,0.028754,0.138622,0.331987,0.17626,5675,263,0.263084,488,0,0,1215
2153,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.165279,0.119402,0.149131,0.06894,0.330031,0.167218,506,84,0.373518,70,0,0,90
185,1,N,DISAGREEMENT,IRONIC,81,OBJECTIVE,0.095285,0.403573,0.031964,0.273845,0.154051,0.041282,421,29,0.254157,72,2,1,77
2364,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.176212,0.157185,0.080125,0.226074,0.207522,0.152881,668,32,0.267964,106,0,0,138
5166,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.114793,0.472902,0.077221,0.231485,0.072174,0.031425,643,64,0.300156,98,0,0,108
877,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.143263,0.381222,0,0.338378,0.088852,0.048286,221,6,0.244344,46,0,0,47
