ID,Class,ScoreTag,Agreement,Irony,Confidence,Subjectivity,Fear,Excited,Bored,Happy,Angry,Sad
2421,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1124318411,0.1234228769,0.0896409673,0.067701045,0.4113918924,0.1954113773
3169,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1115594237,0.3633226506,0.0509069022,0.2461599528,0.1355564954,0.0924945753
2706,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1689397405,0.1439546319,0.2245621175,0.0976004162,0.132033531,0.2329095629
755,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.0442683541,0.5430714612,0.0096421517,0.3053436122,0.0883397371,0.0093346836
435,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.0798785476,0.2820314861,0.0869345567,0.3532946663,0.1202873842,0.0775733591
4165,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.103563259,0.552638849,0.0315272396,0.2023685916,0.0832579242,0.0266441366
4918,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1212367481,0.2531851755,0.0146470569,0.3822999824,0.1285658612,0.1000651759
2730,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1222648161,0.1895191066,0.0765564249,0.2816841045,0.1429763735,0.1869991745
3323,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2062941986,0.1046006608,0.1391688946,0.1049138661,0.2843022355,0.1607201444
5120,?,P,DISAGREEMENT,IRONIC,76,SUBJECTIVE,0.1622698611,0.1207236103,0.1009701126,0.1275487456,0.2710592504,0.21742842
2382,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.11882331,0.3515131706,0.0344288428,0.3419061331,0.1126950377,0.0406335058
3356,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1226910856,0.4207343445,0.033180169,0.2029237464,0.1515129731,0.0689576815
1119,?,NEU,DISAGREEMENT,IRONIC,84,SUBJECTIVE,0.157857468,0.2537290335,0.0348936406,0.3110156442,0.1512578282,0.0912463855
149,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1395110939,0.3354739543,0.0217149593,0.3706314498,0.0760946917,0.056573851
4935,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1394563563,0.1598909721,0.0912682895,0.1271475763,0.3202922091,0.1619445967
935,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2104209541,0.1278787722,0.0536072478,0.1493404081,0.2897082101,0.1690444077
1512,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.277599746,0.1046327173,0.0498714825,0.0505103579,0.2461508612,0.271234835
1572,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1570249194,0.3611179573,0.0246796165,0.183295993,0.1938955764,0.0799859373
3268,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1475263541,0.2868858938,0.0444402645,0.3198035699,0.1130538746,0.088290043
3149,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2888890738,0.2349703369,0.043456712,0.2355087508,0.082964078,0.1142110484
1207,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1169229079,0.0701422914,0.0204058884,0.0744587701,0.4932819655,0.2247881767
1501,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1678873137,0.2002171664,0.110670822,0.1221774331,0.2785915745,0.1204556903
1360,?,P+,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1884408047,0.4350271374,0.0175405574,0.2619883572,0.0632416945,0.0337614488
1150,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1488028205,0.037688729,0.2806608204,0.0279506555,0.3347515646,0.17014541
1595,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0640680905,0.3839456586,0.0776614835,0.3398835898,0.0863612378,0.0480799398
461,?,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1983179896,0.1062453475,0.0624108678,0.1660065781,0.197561317,0.2694579001
5160,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2073673918,0.2657673003,0.0,0.2187874656,0.1548536683,0.153224174
3325,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1479717096,0.5317735935,0.020753943,0.1709335149,0.0873004815,0.0412667574
4079,?,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.2215332057,0.1430318457,0.0835871598,0.1318038865,0.2023273633,0.2177165391
4574,?,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.1027646072,0.4142451097,0.0529792656,0.2795632285,0.0973134415,0.0531343475
4382,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1529633526,0.0477908248,0.0321433681,0.0659088083,0.3153969073,0.3857967389
1084,?,P,AGREEMENT,NONIRONIC,97,SUBJECTIVE,0.1346366357,0.3306068649,0.0,0.2779603031,0.1711129606,0.0856832357
5029,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2052450516,0.1477611814,0.0489197442,0.2855673782,0.0825751773,0.2299314674
1212,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1790436572,0.4086044384,0.0118992908,0.22265893,0.1006301488,0.0771635348
4293,?,NEU,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1764332519,0.2387124673,0.1204830008,0.1677908145,0.1779615464,0.1186189191
3958,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1018710065,0.4594017083,0.0339453798,0.2491092468,0.1286226442,0.0270500144
2737,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1829552904,0.2688121754,0.0,0.2383505035,0.154509145,0.1553728857
4303,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0861768818,0.434364814,0.0281493575,0.3414003828,0.0655119968,0.0443965671
158,?,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1290576903,0.3913024599,0.0524911319,0.2485080179,0.1265022295,0.0521384706
221,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2113068577,0.1359623594,0.0351108516,0.2887231112,0.0778894691,0.251007351
3389,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2180938466,0.1826220468,0.0424040231,0.1906443346,0.2152382584,0.1509974905
3962,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.2058345099,0.1012516228,0.0281031538,0.1101970759,0.2684799114,0.2861337262
3997,?,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1258615495,0.1688190367,0.1415686273,0.1232955957,0.1473847096,0.2930704812
661,?,NEU,DISAGREEMENT,NONIRONIC,86,OBJECTIVE,0.0976737488,0.2951704671,0.1746643551,0.2179021086,0.1624227238,0.0521665965
3619,?,P+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1661022298,0.1801433108,0.0476651971,0.1735353102,0.2418099213,0.190744031
5142,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1709677808,0.2497729792,0.0666093028,0.2588422823,0.1678000829,0.086007572
2922,?,P,AGREEMENT,NONIRONIC,98,SUBJECTIVE,0.1667208785,0.2324772898,0.0146948381,0.2978586672,0.2067672479,0.0814810785
1374,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1138510473,0.0783708799,0.0427473194,0.097428414,0.4544781902,0.2131241492
1899,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1307223729,0.2432600892,0.0,0.206142528,0.2552870247,0.1645879852
4902,?,N+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1751307177,0.1430044309,0.0515175335,0.0572105077,0.3476868324,0.2254499778
3486,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.0679566561,0.1210426054,0.0158650302,0.433126084,0.2935628367,0.0684467876
2161,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1355163348,0.2994225842,0.0370897344,0.2774323158,0.1190834504,0.1314555805
4521,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1665925983,0.3119511239,0.0303322707,0.271780316,0.1287358468,0.0906078442
375,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1192746362,0.1724261336,0.0318212356,0.3437643207,0.2260966099,0.106617064
2015,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1163418497,0.3732958965,0.0402043993,0.2832314758,0.1158859266,0.0710404521
2085,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1285504205,0.3682019804,0.0302285054,0.3142458051,0.1048998447,0.0538734439
834,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0829936222,0.4492636152,0.0439103556,0.2894386519,0.1033915292,0.0310022258
3955,?,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.2347295923,0.153054342,0.0225855047,0.1102036614,0.2756564526,0.2037704469
1314,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1044203383,0.4024614553,0.0943151355,0.228577745,0.0989596278,0.0712656981
183,?,?,?,?,?,?,0.1682778383,0.1730042145,0.1609563888,0.167991812,0.1642816755,0.1654880708
3027,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1094068074,0.3168771644,0.0928170895,0.1216117787,0.2360294401,0.1232577198
1613,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1416514901,0.1283648501,0.0584158158,0.09383195,0.3782965034,0.1994393906
1521,?,P,AGREEMENT,NONIRONIC,97,SUBJECTIVE,0.2596229291,0.2190820956,0.0377778989,0.0979825265,0.140990365,0.2445441848
3765,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2430542571,0.0905569045,0.0420746568,0.0782274463,0.209139439,0.3369472962
4979,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1041179154,0.3351545345,0.1207680484,0.1466963003,0.2295792396,0.0636839618
4739,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.0938586682,0.4251472827,0.0296644043,0.3317581232,0.0938857135,0.0256858082
2911,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1167085497,0.2968884519,0.0398974473,0.3023787806,0.1254473911,0.1186793794
2372,?,NEU,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.1537602723,0.451948736,0.0212551765,0.1467433953,0.1252351708,0.1010572492
3896,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.0987346734,0.2679494803,0.0677052256,0.2722110627,0.1732476652,0.1201518928
3215,?,NEU,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1705552972,0.1530317352,0.0687036427,0.1140337957,0.3704515107,0.1232240185
4023,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.0950508489,0.4663554003,0.0236789487,0.3243805397,0.0558201099,0.0347141525
415,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.145721793,0.3288841513,0.0407731734,0.2750502275,0.1349901911,0.0745804637
2873,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2068333125,0.195434977,0.0567947332,0.1986239181,0.1092466467,0.2330664126
5135,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1617094262,0.1299644147,0.0933349819,0.0895165457,0.2994995799,0.2259750517
3879,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1210891522,0.3340963567,0.046441779,0.2713509435,0.1456867982,0.0813349702
4398,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1931332052,0.1968248141,0.0327838607,0.2421287373,0.0955703436,0.239559039
4237,?,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.1292204941,0.3709555557,0.0206831451,0.1886014588,0.2330704458,0.0574689006
402,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1573189387,0.2690531729,0.1049628025,0.1768326423,0.1960277007,0.0958047428
2504,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1853996489,0.235363323,0.0555697905,0.3135317196,0.0982526905,0.1118828274
2910,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2110677957,0.1882967707,0.0209391869,0.1394593406,0.2424400545,0.1977968517
2198,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2168888284,0.3587468142,0.0,0.2023260666,0.1364577242,0.0855805667
4625,?,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.1451762598,0.2160933141,0.0526365773,0.1050088271,0.2832135577,0.197871464
3811,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1532157311,0.1811087507,0.0595483947,0.2000837471,0.2495348469,0.1565085296
828,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1971777396,0.1870507402,0.0266863735,0.2391634237,0.197092543,0.1528291801
271,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.2040262878,0.2534024864,0.0668410498,0.2119633974,0.1328323622,0.1309344164
4854,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.102435702,0.1645473395,0.0433834374,0.1381686616,0.4617991973,0.0896656622
984,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1862193818,0.2230694174,0.0548442766,0.203753699,0.2134309107,0.1186823144
4887,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.2189450087,0.2335696099,0.074862991,0.1614367401,0.1423414483,0.168844202
4376,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1691410077,0.2745422105,0.0611684571,0.2636844111,0.1401516845,0.0913122292
998,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1285844866,0.2268504303,0.0473965725,0.289147202,0.1961837804,0.1118375281
5049,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1277524188,0.3216939225,0.0241333953,0.3694805622,0.1004952612,0.0564444401
7,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.2042204297,0.2249808076,0.0325935568,0.1966659546,0.2069022913,0.13463696
1872,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1846919982,0.1704273193,0.0283171431,0.1525851777,0.3035176725,0.1604606891
2054,?,N,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.2193889268,0.3181435316,0.0,0.1505789405,0.1613914184,0.1504971826
1918,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1523694447,0.2383741437,0.0446461436,0.1716370673,0.3181505987,0.074822602
2394,?,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.176145467,0.1159739667,0.0628322745,0.1281397739,0.3543712393,0.1625372786
2472,?,P,AGREEMENT,NONIRONIC,92,OBJECTIVE,0.2216214761,0.2187067761,0.0222416198,0.0865323968,0.367117221,0.0837805102
123,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.2059744471,0.1909565361,0.0549008374,0.1525427919,0.221084078,0.1745413094
1160,?,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.0802307092,0.4462333154,0.0325040948,0.3136399951,0.0726108754,0.0547810101
4180,?,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.085651396,0.6408354911,0.0102589268,0.1776380369,0.080393123,0.0052230261
196,?,NEU,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1790396823,0.1482198796,0.0,0.3321538513,0.1247516541,0.2158349328
2240,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.2007606645,0.1562945247,0.0496754923,0.2780111965,0.152314496,0.162943626
4404,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1925827783,0.0611061547,0.1376751818,0.0606754208,0.2006735061,0.3472869583
1561,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.118373681,0.1530283996,0.0257494511,0.3451052695,0.2898274308,0.0679157681
4373,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1977922612,0.0699902342,0.0814788493,0.0767503052,0.3667896685,0.2071986816
1225,?,P,DISAGREEMENT,NONIRONIC,91,OBJECTIVE,0.2532662615,0.2491538494,0.0228150451,0.1468542195,0.1244027589,0.2035078656
4960,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.0570900218,0.4932381306,0.0187936191,0.2649434065,0.1459625218,0.0199723002
4,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1440552621,0.3653173182,0.0,0.3177256503,0.1129706577,0.0599311117
1028,?,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.182302048,0.1593153745,0.0346564407,0.2488022422,0.1783015397,0.1966223549
261,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1752417626,0.0802028646,0.1638174355,0.0572384353,0.3879743733,0.1355251287
719,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.142195969,0.2946776213,0.0277040663,0.2685694492,0.1761367979,0.0907160962
419,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1697169276,0.2411589031,0.1004083107,0.2023404791,0.1523106517,0.1340647278
578,?,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1005158381,0.4006514054,0.0,0.1345208247,0.3206702411,0.0436416907
4419,?,NEU,DISAGREEMENT,IRONIC,81,SUBJECTIVE,0.2633022163,0.2758285688,0.0436721469,0.1589839229,0.1705975968,0.0876155483
4504,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1369889008,0.091996662,0.0662789583,0.1040788266,0.4260698471,0.1745868052
1802,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1072211628,0.3253160695,0.02238279,0.2615296651,0.2219162229,0.0616340897
1081,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.202661472,0.1427733784,0.0411654824,0.271060649,0.0824939494,0.2598450689
2261,?,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.1315001604,0.1814513734,0.0300131588,0.3695954304,0.1689856606,0.1184542163
2447,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.0908875198,0.4840008148,0.153920181,0.1762352546,0.0561113219,0.0388449077
4166,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2052450516,0.1477611814,0.0489197442,0.2855673782,0.0825751773,0.2299314674
4390,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.0560273715,0.4906469661,0.0133834566,0.3958694461,0.0346205098,0.0094522499
904,?,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.0619811155,0.5578712481,0.0432653144,0.1141238498,0.1693425602,0.053415912
2138,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1285982623,0.2552164243,0.0,0.2585955659,0.2156786859,0.1419110617
21,?,P,AGREEMENT,NONIRONIC,98,SUBJECTIVE,0.1511400051,0.3068199332,0.1045240142,0.1654274369,0.1555500114,0.1165385993
894,?,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.1493385474,0.294062361,0.0741966618,0.1724420021,0.1780554801,0.1319049475
941,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1903114106,0.0837713063,0.0510262777,0.131477663,0.3144780173,0.2289353252
2878,?,P,AGREEMENT,NONIRONIC,97,SUBJECTIVE,0.1538205381,0.1366622904,0.1315661552,0.0616197924,0.2782864615,0.2380447623
2013,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1728547791,0.2141870311,0.034656491,0.1977489771,0.2667874954,0.1137652263
4275,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2017993132,0.319739449,0.0,0.2217051064,0.1861696585,0.0705864729
45,?,P,AGREEMENT,NONIRONIC,98,SUBJECTIVE,0.2071468328,0.1163688146,0.050015824,0.0908581046,0.2680647862,0.2675456378
307,?,P,DISAGREEMENT,IRONIC,76,SUBJECTIVE,0.1394159411,0.2546131844,0.0731135127,0.1672594039,0.2599533281,0.1056446297
776,?,NEU,DISAGREEMENT,IRONIC,81,SUBJECTIVE,0.2052587778,0.1780589161,0.0529689518,0.1114763502,0.2732810541,0.1789559499
2863,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1646762061,0.4787301387,0.0388840771,0.1845468695,0.0912584677,0.0419042408
2533,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1144527727,0.5869095565,0.0146207841,0.1918795566,0.0770788956,0.0150584344
1526,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0733418857,0.0080901191,0.7456623382,0.0100371045,0.0320179235,0.1308506291
5154,?,N,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1066309648,0.508371789,0.0137745752,0.2753130413,0.0826495146,0.013260115
352,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0971253807,0.5975989405,0.0172025401,0.2052634171,0.0699138051,0.0128959164
3503,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1692213412,0.159775215,0.1395207474,0.1146241299,0.2313130613,0.1855455052
443,?,N,AGREEMENT,NONIRONIC,92,OBJECTIVE,0.1947117794,0.2223078552,0.0483648178,0.1532748683,0.2273943261,0.1539463533
428,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.0732201046,0.4551597904,0.0199205565,0.3151209723,0.0905484678,0.0460301083
874,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.4117116413,0.1446369717,0.0163481986,0.1203507293,0.0802308844,0.2267215747
2164,?,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2773594462,0.1565731969,0.0440262863,0.1382581175,0.1199269309,0.2638560222
612,?,N,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.0770755043,0.4109003367,0.0226145154,0.3552495379,0.0985904184,0.0355696873
1897,?,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2063167918,0.2469565599,0.0979752102,0.1024047278,0.210525622,0.1358210883
218,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1305197329,0.3451212914,0.0411411722,0.3095321047,0.0834754443,0.0902102544
1397,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1553784559,0.0623007293,0.0678794569,0.0583648562,0.4803677843,0.1757087174
2029,?,NEU,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.0904381493,0.3933807905,0.0635548793,0.2230163822,0.209542258,0.0200675407
1176,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1681419209,0.347083588,0.0349491761,0.1499462127,0.22275502,0.0771240823
2659,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1252388081,0.2719132763,0.0,0.3484270748,0.184400192,0.0700206488
4160,?,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1388070826,0.0742460523,0.0803778722,0.0661043086,0.4810121328,0.1594525514
3739,?,P,AGREEMENT,NONIRONIC,97,OBJECTIVE,0.1574419723,0.1171755101,0.0533684105,0.1423775783,0.3310361792,0.1986003496
3566,?,N,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1288814074,0.3239842327,0.0,0.3092454502,0.1540707069,0.0838182028
1912,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1791891691,0.1754996741,0.0539503917,0.2514975957,0.0994446401,0.2404185294
4990,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1948165471,0.0637827952,0.0756175973,0.1580893861,0.2148061996,0.2928874747
2750,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.2027383032,0.0889326587,0.0537158509,0.1604405956,0.2643475142,0.2298250774
3417,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1602948657,0.2189490529,0.0404045483,0.1867360564,0.2710411576,0.1225743191
1844,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.1616979945,0.4109675929,0.0552676294,0.2172295187,0.1097420367,0.0450952277
2066,?,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.1044650413,0.4772676946,0.0105908395,0.3214621894,0.0710655536,0.0151486816
3973,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1596708127,0.2077173337,0.0485361191,0.1724672657,0.2721176761,0.1394907927
3464,?,N,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1625563461,0.0969299466,0.0678395658,0.0707956561,0.2911037564,0.3107747291
4862,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.093310897,0.4300423597,0.0121348405,0.3320027006,0.1035672202,0.0289419821
367,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.135609783,0.386961545,0.0,0.3338125657,0.0900542147,0.0535618917
3887,?,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.1664523345,0.3156894936,0.0077817569,0.449819073,0.0312657043,0.0289916376
3699,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2241341338,0.118712042,0.0873333307,0.0958228491,0.2818277193,0.1921699251
3242,?,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1385588021,0.3422113652,0.1303339711,0.2072228631,0.1064126494,0.0752603491
459,?,N,DISAGREEMENT,NONIRONIC,86,OBJECTIVE,0.2712511524,0.1127133562,0.0395473003,0.0945941316,0.2307834916,0.2511105679
2619,?,P,AGREEMENT,NONIRONIC,97,SUBJECTIVE,0.1948071834,0.1519514159,0.1876921788,0.0842312819,0.191943209,0.189374731
